Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
VLBA – Cloud DevOps Technologies,VLBA – Cloud DevOps Technologies,FIN,,,VLBA-CDOT,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Dr. Klaus Turowski,Prof. Dr. Klaus Turowski,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik,Vorlesung; Übung,Präsenzzeiten = 42 h: • 21 h Vorlesung • 21 h Übung Selbstständiges Arbeiten = 138 h: • 138 h Bearbeiten mehrerer aufeinander aufbauender Hausarbeiten,6 Credit Points = 6*30 h = 180 h (42 h Präsenzzeit + 138 h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,,,Schaffung eines Überblicks über relevante Tools und Technologien für die Entwicklung cloudbasierter Systeme und Vermittlung erster Erfahrungen in deren Nutzung.,"Angesichts hochgradig vernetzter Anwendungen, Big Data und Cloud Computing, ist die sorgfältige Planung und Konstruktion von Architekturen und Landschaften der entsprechenden Informationssysteme wichtiger denn je. In vielen Fällen endet der Lebenszyklus eines Systems nicht mit der Auslieferung der Lösung, vielmehr sind der anschließende Betrieb, die Überwachung und die Wartung zu einem wesentlichen Bestandteil dieses Prozesses geworden. An diesem Punkt sind ausgefeilte Paradigmen und Methoden erforderlich, die die kontinuierliche Entwicklung und den Betrieb dieser Systeme erleichtern und gleichzeitig Fehler, Ausfälle und andere Störungen verhindern. Der Kurs dient der Vermittlung von Grundlagen als auch erster praktischer Erfahrungen bei der Entwicklung (Development) und dem Betrieb (Operations), kurz DevOps, von Systemen in Verbindung mit dedizierten Cloud-Technologien. Neben den theoretischen Grundlagen werden wesentliche Konzepte und Technologien diskutiert und angewendet, die die kontinuierliche Integration, Auslieferung und das Testen von entsprechenden Systemen ermöglichen.",Hausarbeit,,
VLBA 1: Systemarchitekturen,VLBA 1: Systemarchitekturen,FIN,,,VLBA1,,,M.Sc. ab 1. Semester,Wintersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik,Professur für Angewandte Informatik / Wirtschaftsinformatik,deutsch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik,Vorlesung; Übung,Präsenzzeiten: 28 h Vorlesung / 28 h Übung Selbstständiges Arbeiten: 54 h Vor- und Nachbereitung Vorlesung 70 h Entwicklung eines Informationssystems in der Übung 6 x30h (56 h Präsenzzeit + 124 h selbstständige Arbeit),6,,,Lernziele & zu erwerbende Kompetenzen: Erlernen von Techniken und Methoden der Komponenten-basierten Systementwicklung Methoden zum Aufbau komplexer interorganisationaler betrieblicher Informationssysteme auf Grundlage der Service-orientierten Architektur Erlangung von praktischen Fähigkeiten zur Entwicklung komplexer verteilter Informationssysteme,"Theorie der komponentenbasierten SystementwicklungFachkomponenten, Frameworks, Komponenten-Lebenszyklen,CoBCoM-ArchitekturArchitekturen von Systemlandschaften Pattern-Sprachen und Architektur-Pattern Service-orientierte Architektur (SoA) Web-Services Mediatoren Fallstudien Personal Information GuideShared ERP ArchitecturePrototypische Realisierung eines interorganisationalen Informationssystems auf Grundlage der CoBCoM-Architektur und SoA","Beteiligung an einem Entwicklungsprojekt, mündliche Prüfung",,"Turowski, K.: Fachkomponenten. Aachen 2002. Herden, S., Marx Gómez, J., Rautenstrauch, C., Zwanziger, A.: Softwarearchitekturen für E-Business-Systeme, Berlin, Heidelberg u. a., 2006."
VR und AR in industriellen Anwendungen,VR und AR in industriellen Anwendungen,FMB,,,,,,M.Sc. ab 1. Semester,,Professur für Logistische Systeme,Professur für Logistische Systeme,deutsch,FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung; Praktikum,"Vorlesung und vorlesungsbegleitende Übung einschließlich eines Programmierpraktikums mit der VDT-Plattform des Fraunhofer IFF, selbständiges Bearbeiten der Übungsaufgaben als Voraussetzung zur Prüfungszulassung Präsenzzeiten Wöchentliche Vorlesungen 2 SWS Wöchentliche Übungen 2 SWS Selbständiges Arbeiten, Bearbeiten der Übungsaufgaben, Nachbereitung der Vorlesungen, Prüfungsvorbereitung 180 h (56 h Präsenzzeit + 124 h selbständige Arbeit)",6,,Grundkenntnisse der Computergraphik,"Lernziele & zu erwerbende Kompetenzen Die Vorlesung vermittelt anhand praxisnaher Beispiele die Erstellung von VR- und AR-Anwendungen im industriellen Umfeld. Die Vorlesung schließt vorbereitende Maßnahmen zur Datenaufbereitung, wie Übernahme von Daten aus CAD-Systemen, Texturgewinnung ein. Im Programmierpraktikum werden das Autorensystem der VDT-Plattform des Fraunhofer IFF eingesetzt und eigene Programmerweiterungen der VDT-Plattform umgesetzt.",Überblick über Einsatzmöglichkeiten von VR-Anwendungen in unterschiedlichen BranchenÜberblick über marktübliche VR/AR-Hardware/Software Erstellung einfacher VR-Modelle mit einem 3-DModellierungssystem Datenübernahme aus kommerziellen CAD-Systemen Erstellung von Szenarien mit dem Autorensystem der VDTPlattform des Fraunhofer IFF Erstellung eigener VR-Anwendungen am Beispiel der Grafikbibliothek OpenSG sowie der VDT-Plattform Erstellung von AR-Anwendungen mit einem AR-Toolkit,W   erden zu Beginn der Veranstaltung bekannt gegeben. Prüfung oder Leistungsnachweis,,
VR/AR-Technologien für die Produktion,VR/AR-Technologien für die Produktion,FMB,,,,,,M.Sc. ab 1. Semester,,"FMB-ILM, Prof. Schenk, Steffen Masik","Hon. Prof. Schreiber, Dr. Schumann, FMB-ILM",deutsch,FIN: M.Sc. CV - Bereich Anwendungen / Geisteswissenschaftliche Grundlagen,Vorlesung; Übung,"Präsenzzeit: Vorlesungen: 2 SWS, Übungen: 1 SWS Selbstständiges Arbeiten: Vor-und Nachbereiten der Übungen (42 h Präsenzzeit und 108 h Selbststudium) M.Sc. CV: 6 CP mit Zusatzleistung: Seminarvortrag",5 Master CV: 6,Grundlagen der Fertigungslehre Grundlagen der Konstruktionstechnik,,Kennenlernen von Virtual Reality (VR) und Augmented Reality (AR) als neue Formen der Mensch-Maschine-Interaktion zur Gestaltung von Produktionssystemen und –prozessen.,"Einsatzszenarien am Beispiel des Produktionslebenszyklus; Überblick über VR/AR-HardwareSoftwarebestandteile VR/AR-Systeme VR-basierte Experimentierplattformen zum Planen, Testen, Betreiben von Produktionstechnik",Prüfung: Klausur K90 ,,"Skript: Schreiber, W.; Zimmermann, P.,(Hrsg.): Virtuelle Techniken im industriellen Umfeld"
Wahlpflichtfach FIN Schlüssel- und Methodenkompetenz,Elective Course in Method and Key Competencies,FIN,,,WPF FIN-SMK,,,B.Sc. ab 6. Semester,jedes Semester,Dozenten der FIN,Veranstaltungsspezifisch,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK,Veranstaltungsspezifisch,Veranstaltungsspezifisch,5,,,Lernziele & erworbene Kompetenzen Fortgeschrittene methodische  Kompetenzen auf dem Gebiet der Informatik und ihre Anwendungen und/oder  fortgeschrittene persönliche oder soziale Kompetenzen auf der Basis  einer Fachveranstaltung der OVGU. Dieses Modul kann durch  unterschiedliche Lehrveranstaltungen implementiert werden. Die  fachspezifischen Lernziele sind angebotsspezifisch.,Dieses Modul kann durch unterschiedliche Lehrveranstaltungen implementiert werden. Die fachspezifischen Inhalte sind angebotsspezifisch.,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Studien-/ Prüfungsleistungen sind veranstaltungsspezifisch und werden zu Beginn der Veranstaltung bekanntgegeben. ,,Veranstaltungsspezifisch
Werkzeuge für das wissenschaftliche Arbeiten,Tools for Scientific Work,FIN,,,WWA,,,B.Sc. ab 1. Semester,Wintersemester,Jun.-Prof. Dr. Michael Kuhn,Jun.-Prof. Dr. Michael Kuhn,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Trainingsmodul,Praktikum,"Präsenz: 3 SWS (42h) Selbstständiges Arbeiten: Nachbereiten der vorgestellten Inhalte, weitergehende Beschäftigung mit den Werkzeugen (48h)",3 CP,,,"Die Teilnehmenden lernen, mit den vorgestellten Werkzeugen umzugehen und damit effektiv zu arbeiten.","Für die wissenschaftliche Arbeit werden heutzutage eine Vielzahl an Werkzeugen eingesetzt, die Wissenschaftlerinnen und Wissenschaftlern die Arbeit erleichtern können. Dafür ist es allerdings notwendig, die Stärken und Schwächen der jeweiligen Werkzeuge zu kennen und mit deren Funktionsweise vertraut zu sein. Im Trainingsmodul werden wir uns mit den wichtigsten Werkzeugen für das wissenschaftliche Arbeiten auseinander setzen. Dazu zählen unter anderem die Bedienung der Kommandozeile, die Versionsverwaltung mit Git, die Entwicklung von Scripten zur Automatisierung, das Plotten von Ergebnissen, sowie die Arbeit mit LaTeX zum Schreiben von Publikationen, Berichten und Präsentationen. Die Veranstaltung ist dabei sehr praktisch angelegt. Die Werkzeuge können und sollen live durch die Teilnehmenden ausprobiert werden.",Aktive und erfolgreiche Teilnahme am Präsenzteil,,
Wissenschaftliches Individualprojekt,Wissenschaftliches Individualprojekt,FIN,,,WIP,,,M.Sc. ab 1. Semester,jedes Semester,Professur für Simulation,Wird von unterschiedlichen Hochschullehrern der FIN angeboten,deutsch,für die Masterstudiengänge,Angeleitetes wissenschaftliches Individualprojekt,180h Selbststudium und Projektarbeit,6,,Angebotsspezifisch,"Lernziel: In diesem Modul erwerben Studierende durch angeleitetes wissenschaftliches Arbeiten Fachwissen auf einem Teilgebiet der Informatik. Dies erfolgt durch Studium der Fachliteratur und durch originäre wissenschaftliche Arbeit. Erworbene Kompetenzen: Selbstständiges und angeleitetes wissenschaftliches Arbeiten, z.B.: Einarbeitung in eine wiss. FragestellungDarstellung des aktuellen Erkenntnisstands auf der Basis einer LiteraturrechercheErkennung von Problemen bzw. ErkenntnislückenVorschlag zur Schließung der LückeUmsetzung eines LösungsvorschlagesPlanung, Durchführung und Interpretation von ExperimentenVerfassen einer AusarbeitungHalten eines VortragsDie fachlichen Lernergebnisse sind angebotsspezifisch.",Angebotsspezifisch,Wissenschaftlicher Vortrag und Ausarbeitung,,Angebotsspezifisch
"Wissenschaftliches Rechnen IV: Tensoren, Differentialformen und Vektoranalysis","Scientific Computing IV: tensors, differential forms, and vector calculus",FIN,,,WRIV,,,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester,Sommersemester,Juniorprofessur Echtzeit-Computergraphik,Jun.-Prof. Dr. Christian Lessing,deutsch,FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. DKE - Fundamentals of Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Vorlesung,Präsenzzeiten: 2 SWS Vorlesung / 2 SWS Übung Selbstständiges Arbeiten: Nacharbeiten der Vorlesung Lösen der Übungsaufgaben 180 h (56h Präsenzzeit + 124h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,6 CP,,Sichere Kenntnisse der linearen Algebra,"Vermittlung von Grundkenntnissen zu Tensoren und Differentialformen und deren klassische Formulierung als Vektoranalysis, so dass diese in Anwendungen der Computergraphik, Natur- und Ingenieurwissenschaften, z.B. zur numerischen Simulation von Flüssigkeiten oder Maxwell’s Gleichungen, verwendet werden können.","Tensoren und multi-lineare Algebra Differentialformen, de Rahm Komplex, äußere Ableitung, Lie Ableitung, Hodge dual Formulierung von Vektoranalysis mit Differentialformen Ggf. Erweiterung der Konzepte auf Mannigfaltigkeiten",Mündliche Prüfung,"Tafel, Folien, Beispielprogramme","J. E. Marsden, T. S. Ratiu, and R. Abraham, Manifolds, Tensor Analysis, and Applications, Springer-Verlag, 2004. T. Frankel, The Geometry of Physics, Third. Cambridge University Press, 2011. I. Agricola and T. Friedrich, Vektoranalysis: Differentialformen in Analysis, Geometrie und Physik. Vieweg+Teubner Verlag, 2010."
Wissenschaftliches Rechnen V: Strukturerhaltende Simulationen und Geometrische Mechanik,Scientific Computing V: Structure Preserving Simulations and Geometric Mechanics,FIN,,,WR V,,,M.Sc. ab 1. Semester,Wintersemester,Juniorprofessur für Echtzeit-Computergraphik,Jun.‐Prof. Dr. Christian Lessig,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden des Digital Engineering FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung / 2 SWS Übung Selbstständiges Arbeiten: Nacharbeiten der Vorlesung Lösen der Übungsaufgaben,6 Credit Points = 180 h (56h Präsenzzeit + 124h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,keine,S   tark empfohlen: Wissenschaftliche Rechnen IV; Empfohlen: Wissenschaftliche Rechnen II,"The course provides an introduction to structure preserving numerical simulations that respect the invariants of physical systems, for example conserve energy or momentum. It also provides the necessary background from geometric mechanics.","- Variational and Hamiltonian formulation of mechanical systems - Variational structure preserving integrators - Symplectic integrators - Mechanical systems with symmetry, reduction and numerical integrators for these systems",Mündliche Prüfung,"Tafel, Folien, Beispielprogramme","J. E. Marsden and T. S. Ratiu. Introduction to Mechanics and Symmetry: A Basic Exposition of Classical Mechanical Systems. Texts in Applied Mathematics. Springer-Verlag, New York, third ed. edition, 1999. J. E. Marsden and M. West. Discrete Mechanics and Variational Integrators. Acta Numerica, 10:357–515, 2001. E. Hairer, C. Lubich, and G. Wanner. Geometric Numerical Integration. Springer Series in Computational Mathematics. Springer-Verlag, second ed. edition, 2006"
Wissenschaftliches Seminar,Scientific Seminar,FIN,,,WissSem,,,B.Sc. ab 5. Semester,jedes Semester,Dozenten der FIN,veranstaltungsspezifisch,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar,,Präsenzzeiten = 28 h SWS Seminar Selbstständiges Arbeiten = 62 h Aufarbeitung des Themas Vorbereitung einer Präsentation schriftliche Ausarbeitung des Themas,3,,,Lernziele & erworbene Kompetenzen: Selbstständige Erarbeitung eines anspruchsvollen Themas Mündliche Präsentation eines anspruchsvollen Themas Schriftliche Dokumentation eines anspruchsvollen Themas Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Die fachlichen Lehrziele sind angebotsspezifisch.,Dieses Modul kann durch unterschiedliche Lehrveranstaltungen implementiert werden. Die fachlichen Inhalte sind angebotsspezifisch.,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Studien-/ Prüfungsleistungen sind veranstaltungsspezifisch und werden zu Beginn der Veranstaltung bekanntgegeben.,,veranstaltungsspezifisch
Wissenschaftliches Seminar (dual),Scientific Seminar (dual),FIN,,,WissSem,,,B.Sc. ab 5. Semester,jedes Semester,Dozenten der FIN,veranstaltungsspezifisch,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar,Vorlesung,Präsenzzeiten = 28 h SWS Seminar Selbstständiges Arbeiten = 62 h Aufarbeitung des Themas Vorbereitung einer Präsentation schriftliche Ausarbeitung des Themas,3,,,Lernziele & erworbene Kompetenzen: Selbstständige Erarbeitung eines anspruchsvollen Themas Mündliche Präsentation eines anspruchsvollen Themas Schriftliche Dokumentation eines anspruchsvollen Themas Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Die fachlichen Lehrziele sind angebotsspezifisch,Dieses Modul kann durch unterschiedliche Lehrveranstaltungen implementiert werden. Die fachlichen Inhalte sind angebotsspezifisch.,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Studien-/ Prüfungsleistungen sind veranstaltungsspezifisch und in Kooperation mit dem Praxispartner zu erbringen. Sie werden zu Beginn der Veranstaltung bekanntgegeben.,,veranstaltungsspezifisch
Wissenschaftliches Team-Projekt,Wissenschaftliches Team-Projekt,FIN,,,WTP,,,M.Sc. ab 1. Semester,jedes Semester,Dozenten der FIN,Wird von unterschiedlichen Hochschullehrern der FIN angeboten.,---,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen FIN: M.Sc. DIGIENG FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. DKE (alt) - Bereich Methods I FIN: M.Sc. DKE (alt) - Bereich Methods II FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Ingenieurinformatik FIN: M.Sc. INGINF - Bereich Ingenieurwissenschaften FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen FIN: M.Sc. VC - Schlüssel- und Methodenkompetenzen FIN: M.Sc. WIF - Bereich Informatik FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik FIN: M.Sc. WIF - Bereich Wirtschaftswissenschaften FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen,Projekt,"Betreute Projektarbeit, Teamarbeit, Selbststudium, Präsentationen 180h (Verteilung veranstaltungsspezifisch)",6,,,Lernziele & erworbene Kompetenzen: Fortgeschrittene methodische Kompetenzen auf dem Gebiet der Informatik und ihre Anwendungen Fortgeschrittene persönliche und soziale Kompetenzen Arbeiten im Team Vorbereitung und Durchführung wissenschaftlicher Präsentationen Selbstständiges und geleitetes wissenschaftliches Arbeiten Implementierung und Bewertung wissenschaftlicher Ideen Dieses Modul wird von unterschiedlichen Hochschullehrern implementiert. Die fachlichen Lehrziele sind daher angebotsspezifisch,Dieses Modul wird von unterschiedlichen Hochschullehrern implementiert. Die fachlichen Inhalte sind daher angebotsspezifisch.,veranstaltungsspezifisch,,
